,LATITUDE,LONGITUDE,CHL,datetime
86,52.6664166666667,106.852866666667,2.22,2019-09-20T14:05:00
87,52.89205,107.533133333333,2.48,2019-09-21T02:45:00
88,53.20185,107.802266666667,1.38,2019-09-21T14:24:00
89,53.3494666666667,108.227283333333,1.94,2019-09-22T02:28:00
90,53.4538,108.738366666667,1.94,2019-09-22T07:04:00
91,53.94455,108.42725,1.94,2019-09-22T22:09:00
92,54.2817,108.740583333333,1.53,2019-09-23T02:11:00
93,54.4468,109.060883333333,1.39,2019-09-23T09:49:00
94,55.56045,109.593483333333,1.67,2019-09-25T13:07:00
95,55.3206333333333,109.481533333333,1.39,2019-09-26T07:01:00
96,53.2391166666667,107.253666666667,1.39,2019-09-28T06:46:00
97,51.6752833333333,103.875916666667,3.14,2020-06-01T14:02:00
98,51.6467666666667,104.230016666667,2.45,2020-06-02T06:23:00
99,51.719,104.981083333333,1.03,2020-06-03T00:29:00
100,51.7853666666667,104.938666666667,0.91,2020-06-03T02:43:00
101,51.7776,105.374133333333,0.72,2020-06-03T14:09:00
102,52.2373666666667,105.807833333333,1.49,2020-06-04T06:20:00
103,52.6632166666667,106.85105,0.9,2020-06-05T01:49:00
104,52.7936666666667,107.1198,3.01,2020-06-05T04:56:00
105,52.8965166666667,107.52895,3.78,2020-06-05T12:45:00
106,53.1929333333333,107.8073,3.58,2020-06-05T20:09:00
107,53.4524666666667,108.733683333333,2.86,2020-06-06T09:39:00
108,53.3579166666667,108.217333333333,2.4,2020-06-07T00:57:00
109,53.7594,109.122416666667,2.03,2020-06-07T15:16:00
110,55.7161333333333,109.623333333333,1.45,2020-06-09T02:30:00
111,55.3254,109.497016666667,0.63,2020-06-09T17:44:00
112,55.0420666666667,109.43425,0.72,2020-06-10T11:27:00
113,54.4505666666667,109.068766666667,0.73,2020-06-11T06:02:00
114,53.9442833333333,108.429283333333,1.2,2020-06-12T04:16:00
115,53.2399333333333,107.257,1.1,2020-06-12T14:22:00
116,51.6755666666667,103.870766666667,1.25,2020-07-17T02:00:00
117,51.6462333333333,104.227666666667,0.76,2020-07-17T10:53:00
118,51.7200333333333,104.985266666667,1.21,2020-07-18T12:13:00
119,51.7762666666667,105.3723,1.2,2020-07-19T10:20:00
120,52.6647166666667,106.85455,1.2,2020-07-20T17:02:00
121,52.8893,107.516233333333,1.6,2020-07-21T17:25:00
122,53.4525166666667,108.7359,2.12,2020-07-22T05:56:00
123,53.7409166666667,109.12425,2.3,2020-07-23T14:44:00
124,54.4517666666667,109.068,2.64,2020-07-23T06:10:00
125,55.3220666666667,109.481216666667,1.53,2020-07-24T01:44:00
126,55.5672833333333,109.593233333333,0.95,2020-07-24T07:45:00
127,55.7173166666667,109.626683333333,0.97,2020-07-24T10:02:00
128,54.2748833333333,108.732966666667,1.67,2020-07-26T05:05:00
129,53.9429166666667,108.432,1.93,2020-07-26T09:02:00
130,53.632,108.124016666667,1.5,2020-07-26T12:49:00
131,53.4571666666667,108.223966666667,1.93,2020-07-27T00:18:00
132,53.1936666666667,107.804616666667,1.85,2020-07-27T06:04:00
