DATE,TIME,LATITUDE,LONGITUDE,CHL
6/2/2020,14:23,51.6467666666667,104.230016666667,2.45
6/3/2020,8:29,51.719,104.981083333333,1.03
6/3/2020,10:43,51.7853666666667,104.938666666667,0.91
6/3/2020,22:09,51.7776,105.374133333333,0.72
6/4/2020,14:20,52.2373666666667,105.807833333333,1.49
6/5/2020,9:49,52.6632166666667,106.85105,0.9
6/5/2020,12:56,52.7936666666667,107.1198,3.01
6/5/2020,20:45,52.8965166666667,107.52895,3.78
6/6/2020,4:09,53.1929333333333,107.8073,3.58
6/6/2020,17:39,53.4524666666667,108.733683333333,2.86
6/7/2020,8:57,53.3579166666667,108.217333333333,2.4
6/7/2020,23:16,53.7594,109.122416666667,2.03
6/9/2020,10:30,55.7161333333333,109.623333333333,1.45
6/10/2020,1:44,55.3254,109.497016666667,0.63
6/10/2020,19:27,55.0420666666667,109.43425,0.72
6/11/2020,14:02,54.4505666666667,109.068766666667,0.73
6/12/2020,12:16,53.9442833333333,108.429283333333,1.2
6/12/2020,22:22,53.2399333333333,107.257,1.1
7/17/2020,10:00,51.6755666666667,103.870766666667,1.25
7/17/2020,18:53,51.6462333333333,104.227666666667,0.76
7/18/2020,20:13,51.7200333333333,104.985266666667,1.21
7/19/2020,18:20,51.7762666666667,105.3723,1.2
7/21/2020,1:02,52.6647166666667,106.85455,1.2
7/22/2020,1:25,52.8893,107.516233333333,1.6
7/22/2020,13:56,53.4525166666667,108.7359,2.12
7/23/2020,22:44,53.7409166666667,109.12425,2.3
7/23/2020,14:10,54.4517666666667,109.068,2.64
7/24/2020,9:44,55.3220666666667,109.481216666667,1.53
7/24/2020,15:45,55.5672833333333,109.593233333333,0.95
7/24/2020,18:02,55.7173166666667,109.626683333333,0.97
7/26/2020,13:05,54.2748833333333,108.732966666667,1.67
7/26/2020,17:02,53.9429166666667,108.432,1.93
7/26/2020,20:49,53.632,108.124016666667,1.5
7/27/2020,8:18,53.4571666666667,108.223966666667,1.93
7/27/2020,14:04,53.1936666666667,107.804616666667,1.85
7/28/2020,8:40,53.2416,107.26385,1.04
9/17/2020,19:49,51.71965,104.983433333333,1.4
9/18/2020,17:57,51.6455666666667,104.228816666667,1.64
9/19/2020,10:08,51.6786166666667,103.871633333333,1.47
9/20/2020,16:43,51.7789,105.3705,1.92
9/22/2020,12:05,52.6651,106.851066666667,1.9
9/22/2020,23:01,52.8948333333333,107.53345,1.61
9/23/2020,6:31,53.1894,107.803683333333,2.36
9/23/2020,20:43,53.4553666666667,108.738166666667,2.03
9/24/2020,3:11,53.3557833333333,108.2207,0.9
9/24/2020,8:53,53.9420166666667,108.432333333333,0.47
9/24/2020,13:07,54.28235,108.7409,0.89
9/24/2020,20:48,54.4513333333333,109.0682,0.45
9/25/2020,15:18,55.3147833333333,109.482783333333,1.13
9/26/2020,0:04,55.5681,109.593483333333,1.05
9/26/2020,2:55,55.7171333333333,109.62485,1.61
9/27/2020,12:09,53.7577833333333,109.1256,1.56
9/28/2020,21:24,53.2426333333333,107.253816666667,0.89
6/2/2021,10:09,51.6759166666667,103.877766666667,1.81
6/2/2021,23:05,51.6464,104.226833333333,1.75
6/3/2020,21:02,51.7183833333333,104.985683333333,4.78
6/4/2020,16:56,51.7741833333333,105.364766666667,6.56
6/5/2021,23:03,52.66225,106.8484,3.01
6/6/2021,12:31,53.2395166666667,107.246833333333,3.49
6/7/2021,13:37,52.8953666666667,107.5327,1.81
6/8/2021,11:00,53.35695,108.217566666667,2.35
6/9/2021,8:41,53.942,108.4322,2.34
6/9/2021,12:59,54.2843,108.742116666667,1.7
6/9/2021,21:07,54.4513833333333,109.0685,1.69
6/11/2021,6:47,55.71745,109.62365,2.92
6/11/2021,9:28,55.5673833333333,109.593716666667,2.73
6/12/2021,12:04,53.7564666666667,109.1255,2.87
9/18/2021,9:43,51.6747,103.870633333333,2.35
9/18/2021,18:05,51.6436666666667,104.224583333333,1.94
9/19/2021,17:00,51.7182,104.984833333333,1.68
9/20/2021,10:56,51.7760333333333,105.358983333333,2.15
9/21/2021,18:22,52.6925666666667,106.8229,2.88
9/22/2021,18:53,52.8950166666667,107.533683333333,3.13
9/24/2021,7:27,53.3582,108.218466666667,2.73
9/24/2021,16:38,53.6079,108.43185,1.78
9/24/2021,20:50,54.2774,108.83065,1.86
9/25/2021,16:52,55.3228166666667,109.483283333333,2.01
9/26/2021,14:59,55.7168166666667,109.625716666667,2.18
9/26/2021,23:00,55.5664666666667,109.594033333333,1.85
9/27/2021,14:29,54.4515333333333,109.066133333333,2.18
9/28/2021,9:07,53.7583333333333,109.124666666667,3.87
6/2/2022,9:10,51.6758166666667,103.872383333333,0.83
6/2/2022,16:57,51.6478,104.231966666667,1.26
6/3/2022,8:23,51.7177666666667,104.983516666667,1.73
6/4/2022,10:15,51.7787833333333,105.371783333333,2.21
6/5/2022,8:51,52.6579833333333,106.847216666667,0.91
6/5/2022,20:37,52.89575,107.53405,2.32
6/7/2022,4:08,53.3561833333333,108.222816666667,1.25
6/7/2022,13:54,53.9406666666667,108.430216666667,1.03
6/8/2022,7:50,54.2861666666667,108.745683333333,0.69
6/8/2022,14:24,54.4524166666667,109.068216666667,0.65
6/9/2022,8:24,55.0395166666667,109.428216666667,1.09
6/9/2022,21:59,55.5682666666667,109.592983333333,1.76
7/27/2022,22:05,51.67695,103.876916666667,1.28
7/28/2022,8:03,51.64585,104.2256,1.72
7/30/2022,1:17,51.7755333333333,105.3784,2.87
7/31/2022,22:09,52.6695666666667,106.8622,1.54
8/1/2022,9:01,52.8950166666667,107.530016666667,2.03
8/1/2022,21:48,53.357,108.220816666667,2.12
8/2/2022,9:31,53.9422666666667,108.432616666667,1.55
8/2/2022,14:03,54.2822833333333,108.740283333333,2.15
8/3/2022,13:19,55.04555,109.429366666667,1.92
8/3/2022,19:29,55.3186666666667,109.480866666667,1.45
8/4/2022,15:19,55.55945,109.591966666667,0.71
8/7/2022,11:29,52.66555,106.84995,1.54
9/19/2022,21:12,51.6725833333333,103.878683333333,2.7
9/20/2022,12:23,51.6480666666667,104.224883333333,1.96
9/22/2022,9:51,51.71325,104.980066666667,1.73
9/22/2022,21:37,51.7291,105.333883333333,1.65
9/24/2022,1:51,52.6631666666667,106.863333333333,2.17
9/25/2022,11:20,53.1956333333333,107.7936,1.41
9/25/2022,20:38,53.9430166666667,108.4349,1.33
9/26/2022,6:41,54.45045,109.068783333333,2.18
9/27/2022,12:33,55.7181666666667,109.62395,1.23
9/29/2022,22:22,53.3566166666667,108.221483333333,1.29
9/30/2022,10:32,53.2411666666667,107.2575,1.32
5/31/2023,10:13,51.6787833333333,103.870033333333,0.67
5/31/2023,20:53,51.6476666666667,104.22675,1.08
6/1/2023,19:30,51.69975,105.016966666667,1.02
6/2/2023,18:59,51.7791666666667,105.371366666667,1.32
6/4/2023,20:47,52.6674166666667,106.854083333333,0.41
6/5/2023,17:16,52.8932666666667,107.532666666667,1.85
6/6/2023,7:37,53.1921833333333,107.817683333333,1.7
6/7/2023,6:12,53.9397666666667,108.431466666667,1.49
6/7/2023,10:54,54.28185,108.739066666667,1.08
6/7/2023,19:54,54.4513333333333,109.071266666667,1.15
6/9/2023,20:37,55.5675666666667,109.592483333333,2.05
6/11/2023,16:31,53.7581833333333,109.124066666667,2.1
6/13/2023,18:57,53.24345,107.25495,1.04
7/16/2023,11:44,51.6732833333333,103.871083333333,1.5
7/17/2023,0:40,51.6460833333333,104.223533333333,1.08
7/19/2023,7:06,51.7776833333333,105.389283333333,0.73
7/20/2023,6:16,52.6644,106.850716666667,1.13
7/21/2023,8:02,52.9043,107.5471,0.51
7/22/2023,9:44,53.9421666666667,108.43145,0.25
7/22/2023,21:15,54.4502666666667,109.068716666667,0.16
7/23/2023,23:57,55.5664,109.595466666667,0.86
7/26/2023,14:48,53.3579333333333,108.217816666667,0.62
7/26/2023,23:37,53.2436333333333,107.2564,1.13
9/18/2023,23:55,51.6785833333333,103.873183333333,1.32
9/19/2023,7:40,51.6442833333333,104.2265,1.51
9/20/2023,13:49,51.7180666666667,104.982383333333,0.88
9/20/2023,22:18,51.78325,105.370816666667,1.07
9/22/2023,21:07,52.6641166666667,106.8516,0.91
9/23/2023,10:25,52.8933833333333,107.531266666667,1.02
9/23/2023,19:34,53.1922666666667,107.805316666667,1.02
9/24/2023,11:39,53.3570166666667,108.21855,1.04
9/24/2023,13:19,53.3561666666667,108.220916666667,1.04
9/25/2023,11:50,54.4524333333333,109.071516666667,0.89
9/28/2023,17:35,54.2785333333333,108.737583333333,1.34
9/28/2023,21:27,53.94385,108.436233333333,0.84
6/3/2020,00:00,51.7854333333333,104.93505,0.96
6/10/2020,00:00,51.7854333333333,104.93505,0.43
6/22/2020,00:00,51.7854333333333,104.93505,1.13
6/30/2020,00:00,51.7854333333333,104.93505,1.28
7/10/2020,00:00,51.7854333333333,104.93505,2.28
7/19/2020,00:00,51.7854333333333,104.93505,1.26
8/1/2020,00:00,51.7854333333333,104.93505,1.62
8/12/2020,00:00,51.7854333333333,104.93505,2.15
8/21/2020,00:00,51.7854333333333,104.93505,1.74
8/31/2020,00:00,51.7854333333333,104.93505,1.48
9/10/2020,00:00,51.7854333333333,104.93505,1.37
9/20/2020,00:00,51.7854333333333,104.93505,1.05
9/30/2020,00:00,51.7854333333333,104.93505,1.91
10/12/2020,00:00,51.7854333333333,104.93505,1.28
7/25/2018,9:14,52.5733333333333,106.45475,1.59
7/26/2018,0:42,52.8941333333333,107.530033333333,1.05
7/26/2018,11:58,53.1561333333333,108.0031,0.12
7/27/2018,10:35,54.1854333333333,109.1004,0.76
7/27/2018,17:04,54.4541833333333,109.069933333333,1
7/28/2018,5:23,55.04625,109.4341,2.14
7/29/2018,4:50,55.32035,109.483016666667,2.16
8/1/2018,0:12,51.7768833333333,105.370916666667,1.14
8/1/2018,17:57,51.7152666666667,104.9833,0.68
8/2/2018,14:04,51.6458666666667,104.226633333333,1.12
8/2/2018,20:58,51.6789,103.870133333333,1.02
7/22/2020,1:25,52.8893,107.516233333333,1.6
7/27/2020,14:04,53.1936666666667,107.804616666667,1.85
